article_id,include,exclusion_reason,event_date,event_time_if_known,location_raw,town,district,governorate,deaths_reported,injuries_reported,attack_type,target_description,preliminary_or_final,location_ambiguous,casualty_count_ambiguous,notes
419610,1,,2026-03-12,,الحدث - كلية العلوم,الحدث (Hadath),Baabda,Mount Lebanon,2,0,drone strike,"university faculty building",preliminary,0,0,"named: Dr. Hussein Bazzi (faculty dean) + Dr. Mortada Sorour (professor), both explicitly identified by occupation"
419622,1,,2026-03-12,,بنت جبيل,بنت جبيل (Bint Jbeil),Bint Jbeil,Nabatieh,3,0,strike on vehicle,car,preliminary,0,0,
419643,1,,2026-03-12,,عين ابل,عين ابل (Ain Ebel),Bint Jbeil,Nabatieh,3,0,airstrike,"named workers installing a satellite dish",preliminary,0,0,"named: George Khreish, Elie Attallah, Shadi Ammar; update/confirmation in 419692"
419666,1,,2026-03-12,afternoon,أركي,أركي (Arki),Sidon,South Lebanon,9,0,airstrike,residence,preliminary,0,0,"5 of 9 dead are children; municipal condolence statement functions as the primary report here (first mention of this specific toll); confirmed in 419685"
419673,1,,2026-03-12,,"مفرق معركة البص - صور",معركة البص (Maaraka al-Bass junction),Tyre,South Lebanon,2,,airstrike,unspecified,preliminary,0,0,"second victim died of wounds, raising total to 2; the initial (first) death from this strike was not itself in the keyword-filtered candidate set"
419685,1,,2026-03-12,,أركي,أركي (Arki),Sidon,South Lebanon,9,7,airstrike,residence,final,0,0,"MoPH confirmation of 419666 (title says 'final', body says 'preliminary' - internal inconsistency, note for merge)"
419692,1,,2026-03-12,,عين ابل,عين ابل (Ain Ebel),Bint Jbeil,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,"MoPH update/confirmation of 419643 chain"
419692b,1,,2026-03-12,,باريش,باريش (Barish),Tyre,South Lebanon,3,0,airstrike,unspecified,preliminary,0,0,"same source article as 419692; likely same-day MoPH confirmation of 419499 (batch 4) - do not double count, split into own row (different town)"
419699,1,,2026-03-13,,الجناح,الجناح (Jnah),Beirut,Beirut,1,0,strike on vehicle,car,preliminary,0,0,
419700,1,,2026-03-13,,عبا,عبا (Aaba),Nabatieh,Nabatieh,1,1,airstrike,residence,preliminary,0,0,"named: Ataf Moallem Sabra"
419721,1,,2026-03-13,,طريق الشعيتية,طريق الشعيتية (Al-Shaitiyeh road),Tyre,South Lebanon,1,0,drone strike,vehicle,preliminary,0,0,
419722,1,,2026-03-13,morning,بر الياس - البقاع الأوسط,بر الياس (Bar Elias),Zahle,Bekaa,2,3,airstrike,"apartment (targeted an Islamic Group official)",preliminary,0,0,"named: sons Abdul Rahman and Mosaab al-Dahouk; the targeted official Youssef al-Dahouk (explicitly ID'd as Islamic Group official) survived, critically injured"
419730,1,,2026-03-12,"night (prior)",النبطية الفوقا,النبطية الفوقا (Nabatieh al-Fawqa),Nabatieh,Nabatieh,1,0,airstrike,"residence (sheikh's home)",preliminary,0,0,"event_date corrected from Mar 13 (publish date) to Mar 12 per explicit 'الليلة الماضية' (last night) text - validation audit fix; named: Sheikh Hassan Ghandour, died of wounds; article also covers Al-Dawir (3 strikes, no deaths given) and Sir al-Gharbiyeh/Kfarsir/Aaba strikes w/ no deaths"
419742,0,"No confirmed death - only injuries confirmed by residents; search ongoing for possible additional casualties at the site",,,,,,,,,,,,,,
419753,1,,2026-03-13,,"أطراف شبعا",شبعا (Shebaa - outskirts),Hasbaya,Nabatieh,2,0,drone strike,unspecified,preliminary,0,0,"named: Mahmoud Akrama Nassif, Hadi Mohammad Kaanan"
419805,1,,2026-03-13,,الفوار - صيدا,الفوار (Al-Fawwar),Sidon,South Lebanon,8,9,airstrike,unspecified,preliminary,0,0,
419817,1,,2026-03-13,noon,"طريق كفرتبنيت - أرنون",Kfartebnit-Arnoun road,Nabatieh,Nabatieh,1,0,drone strike,motorcycle,preliminary,1,0,
419833,1,,2026-03-13,,ياطر,ياطر (Yatar),Bint Jbeil,Nabatieh,1,0,airstrike,unspecified,preliminary,0,0,"named: Hassan Youssef Sweidan; district uncertain, verify"
419926,1,,2026-03-13,,"الغازية - قرب مدرسة السفير",الغازية (Ghazieh),Sidon,South Lebanon,2,0,airstrike,building,preliminary,0,0,"2 children; distinct from the March 8 Ghazieh strike (418372/418515, batch 3) - different date/incident"
419931,1,,2026-03-13,,الصوانة,الصوانة (Al-Sawwaneh),Tyre,South Lebanon,2,0,"strike on responder team","2 medics (Islamic Resalah Scouts + Islamic Health Authority), explicitly identified",preliminary,0,0,"update/confirmation in 419957"
419940,1,,2026-03-13,,بنت جبيل (مدينة),بنت جبيل (Bint Jbeil city),Bint Jbeil,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,"third distinct Bint Jbeil city strike this study period - different date from 419176 and 419622; article also mentions a coinciding Aytaroun strike w/ no deaths given"
419952,1,,2026-03-13,,النبطية - حي الراهبات,النبطية (Nabatieh city - Al-Rahibat neighborhood),Nabatieh,Nabatieh,6,0,airstrike,residence,preliminary,0,0,"named: Basma family; chain fluctuates (419969: 5, 419993: 7, 420189 final: 7) - use 7"
