article_id,include,exclusion_reason,event_date,event_time_if_known,location_raw,town,district,governorate,deaths_reported,injuries_reported,attack_type,target_description,preliminary_or_final,location_ambiguous,casualty_count_ambiguous,notes
417959,0,"No new confirmed death count in this article; narrative update on ongoing rescue ops from earlier strikes in same town (Nabi Chit)",,,,,,,,,,,,,,
417963,1,,2026-03-06,dawn,كفررمان,كفررمان (Kfarremen),Nabatieh,Nabatieh,2,0,airstrike,unspecified (named brothers Hassan and Ali Kamal Abu Zeid),preliminary,0,0,"article also covers Bint Jbeil/Haniyeh/Aita al-Shaab/Ramyeh strikes and a motorcycle drone strike w/ only 1 injury (no death) - not incident-worthy on their own"
417965,0,"General cumulative toll bulletin (MoPH), Mon dawn-Fri evening",,,,,,,,,,,,,,
417983,1,,2026-03-06,,النبي شيت,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,3,17,airstrike,"residential areas of the town",preliminary,0,0,"first report in the large Nabi Chit chain; see notes on 418161/418101 for reconciliation complexity"
417987,1,,2026-03-06,,مار مخايل - الشياح,الشياح (Chiyah)/مار مخايل,Baabda,Mount Lebanon,1,3,airstrike,unspecified,preliminary,0,0,"1 dead is a Syrian national (per source) - not labeled civilian/combatant"
417988,1,,2026-03-06,,بئر حسن,بئر حسن (Bir Hassan),Baabda,Mount Lebanon,1,0,airstrike,unspecified,preliminary,0,0,"district/governorate uncertain - Bir Hassan admin boundary fuzzy, verify"
417990,1,,2026-03-06,,مجدل سلم,مجدل سلم (Majdal Selem),Tyre,South Lebanon,9,0,airstrike,residence,preliminary,0,0,"named: Saleh family, mostly women/children; article also mentions a strike on Haniyeh w/ no toll here - see 418000"
417998,1,,2026-03-06,,النبي شيت,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,4,13,airstrike,"residential neighborhoods",preliminary,0,0,"update in Nabi Chit chain (follows 417983)"
418000,1,,2026-03-06,,الحنية,الحنية (Al-Haniyeh),Tyre,South Lebanon,,,airstrike,unspecified,preliminary,0,1,"death count vague ('a number of martyrs'), no figure given - linked to 417990's mention of a Haniyeh strike"
418034,1,,2026-03-06,,النبي شيت,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,9,17,airstrike,"residential neighborhoods",preliminary,0,0,"update in Nabi Chit chain (follows 417998)"
418036,1,,2026-03-06,evening,قلويه,قلويه (Qalawiyeh),Bint Jbeil,Nabatieh,2,0,airstrike,unspecified,preliminary,0,0,"likely same event as 418038's Qalawiyeh mention (spelling variant قلاويه) - flag for merge review; district corrected to Bint Jbeil per 419080 (batch 3)"
418038,1,,2026-03-06,evening,قلاويه,قلاويه (Qalawiyeh),Bint Jbeil,Nabatieh,2,0,airstrike,unspecified,preliminary,0,0,"likely duplicate of 418036 (same village, same evening); article also covers Yatar and Shaqra strikes w/ no deaths reported; district corrected to Bint Jbeil per 419080 (batch 3)"
418039,1,,2026-03-06,"by 21:30",النبي شيت,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,10,0,airstrike,"residential neighborhoods",preliminary,0,0,"update in Nabi Chit chain (follows 418034); 10 named victims listed individually"
418052,0,"No new confirmed death count; narrative/atmosphere update on ongoing recovery (13th strike reported but no new toll given)",,,,,,,,,,,,,,
418071,1,,2026-03-07,dawn,النبي شيت,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,3,16,airstrike,"residential areas ('renewed' strikes)",preliminary,0,1,"labeled 'renewed' (متجددة) strikes - possibly a distinct new wave rather than simple continuation; reconciliation with 418094/418161 totals is unclear - flag heavily for merge review"
418090,1,,2026-03-07,dawn,"شمسطار - ضهر الصوان",شمسطار (Shamsatar),Baalbek,Baalbek-Hermel,6,0,airstrike,"residence sheltering a displaced family",preliminary,0,0,"entire family of 6 (2 parents+4 children) killed; update/confirmation in 418157"
418093,1,,2026-03-07,dawn,جبشيت,جبشيت (Jbeshit),Nabatieh,Nabatieh,6,0,airstrike,residence,preliminary,0,0,"4 of 6 from one family; article also reports later-morning strike destroying town square (no add'l deaths given here), plus Kawthariyet al-Rez/Ansar/Zawtar al-Sharqiya strikes w/ no deaths, and a vague/unconfirmed Kfartebnit death report - see separate row for that"
418093b,1,,2026-03-07,,كفرتبنيت,كفرتبنيت (Kfartebnit),Nabatieh,Nabatieh,,,airstrike,unspecified,preliminary,0,1,"same source article as 418093 (Jbeshit massacre); casualty figure hedged ('وافيد عن ارتقاء شهداء' = reported, unconfirmed, no number) - separate location so split into own row"
418094,1,,2026-03-07,,النبي شيت,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,16,35,airstrike,"residential neighborhoods (running total, pre-commando-raid)",preliminary,0,0,"aggregate update in Nabi Chit chain, published just before the commando-raid report (418101) - likely does not yet include those 26"
418101,1,,2026-03-07,"until ~03:00",النبي شيت,النبي شيت (Nabi Chit - raid also affected Khirbeh/Sarain/Ali al-Nahri),Baalbek,Baalbek-Hermel,26,,"ground commando raid + supporting airstrikes","Israeli special-forces unit landed by helicopter near a village cemetery, engaged in firefight after being spotted; ~40 supporting airstrikes on access roads to cover extraction",preliminary,1,0,"MAJOR distinct incident, NOT a simple airstrike - flag attack_type separately in stats. Of the 26 dead: 3 explicitly identified as Lebanese Army soldiers + 1 General Security (per source); breakdown by locality: 15 Nabi Chit, 9 Khirbeh, 1 Sarain, 1 Ali al-Nahri. Corroborated by Army statement 418148. Reconciliation with 418161's 41-total figure unclear - flag heavily for user review"
418139,1,,2026-03-07,,كوثرية الرز,كوثرية الرز (Kawthariyet al-Rez),Sidon,South Lebanon,2,0,airstrike,"residence (sheikh's home)",preliminary,0,0,"named: sheikh Adel al-Turki's two sons; sheikh himself badly wounded; district uncertain (may be Zahrani caza), verify"
418148,1,,2026-03-07,"22:50 (6-7/3) to ~03:00",النبي شيت - الخريبة,"النبي شيت / الخريبة",Baalbek,Baalbek-Hermel,,,"ground commando raid + supporting airstrikes","Lebanese Army statement confirming the same helicopter-landed force/firefight as 418101; gives partial figure only ('3 soldiers and a number of citizens')",preliminary,1,1,"official Army corroboration of 418101 - same incident, do not double count; casualty figure here is partial/vague, defer to 418101's fuller breakdown"
418157,1,,2026-03-07,dawn,شمسطار,شمسطار (Shamsatar),Baalbek,Baalbek-Hermel,6,0,airstrike,residence,preliminary,0,0,"MoPH update/confirmation of 418090 chain (4 children + 1 woman + implied father)"
418161,1,,2026-03-07,,"النبي شيت والبلدات المحيطة",النبي شيت (+ surrounding towns),Baalbek,Baalbek-Hermel,41,40,airstrike,"combined total across Nabi Chit and surrounding towns",likely-final-for-day,1,1,"cross-cutting SUMMARY figure for the whole Nabi Chit cluster of events that day - does NOT cleanly equal the sum of the individually tracked sub-incidents (residential chain topped out at 16, +commando raid 26, +Shamsatar 6 = 48, not 41). Flag prominently for user reconciliation at merge stage; do not naively add this to the sub-incident totals"
418186,0,"General cumulative toll bulletin (MoPH), Mon dawn-Sat afternoon",,,,,,,,,,,,,,
418222,1,,2026-03-07,afternoon,ميفدون,ميفدون (Meifadoun),Nabatieh,Nabatieh,5,0,airstrike,"residential neighborhood (destroyed)",preliminary,0,0,"article is an area-wide roundup; also reports a SEPARATE afternoon Jbeshit strike (3 dead, see next row) and several strikes w/ no reported deaths (Arnoun ambulance-injuries only, Zebdine, Ansar, Breiqaa, Bint Jbeil villages)"
418222b,1,,2026-03-07,afternoon,جبشيت,جبشيت (Jbeshit),Nabatieh,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,"same source article as 418222; distinct afternoon strike, separate from the morning's 6-dead Jbeshit massacre (418093) - flag for merge review whether additive or overlapping"
418230,1,,2026-03-07,,صريفا,صريفا (Srifa),Tyre,South Lebanon,2,0,airstrike,unspecified,preliminary,0,0,"different date from the earlier 1-dead Srifa strike (417808, March 5) - separate incident"
418252,1,,2026-03-07,,كوثرية الرز,كوثرية الرز (Kawthariyet al-Rez),Sidon,South Lebanon,3,0,"strike on rescue/civil-defense team","Civil Defense - Islamic Health Authority rescue team (explicitly identified by source)",preliminary,0,0,"distinct incident from 418139 (different target - rescue team, not the sheikh's home); article also covers Jbeshit/Arnoun responder strikes w/ injuries only, no deaths"
418268,1,,2026-03-07,evening,زبدين - محطة القبيسي,زبدين (Zebdine),Nabatieh,Nabatieh,,,airstrike,unspecified,preliminary,0,1,"death count vague ('a number of martyrs'), no figure given"
418268b,1,,2026-03-07,evening,"طريق الشرقية - كوثرية السياد",Sharqiya/Kawthariyet al-Sayad road,Nabatieh,Nabatieh,1,0,airstrike,"vehicle presumed (road strike)",preliminary,1,0,"same source article as 418268; strike on road between two towns, not a single town - split into own row"
