article_id,include,exclusion_reason,event_date,event_time_if_known,location_raw,town,district,governorate,deaths_reported,injuries_reported,attack_type,target_description,preliminary_or_final,location_ambiguous,casualty_count_ambiguous,notes
418323,0,"Sudan drone strike, unrelated conflict - deaths outside Lebanon and not an Israeli attack",,,,,,,,,,,,,,
418326,1,,2026-03-08,night,صير الغربية,صير الغربية (Sir al-Gharbiyeh),Nabatieh,Nabatieh,19,0,airstrike,"3-story residential building",preliminary,0,0,"initial correspondent estimate; MoPH update in 418500 gives a much lower 10 - large discrepancy, flag heavily for merge review; article also mentions earlier Al-Bayader strike (between Kfarjouz/Habbouch) w/ no deaths"
418371,1,,2026-03-08,,تفاحتا - حي الظهور,تفاحتا (Tfahta),Sidon,South Lebanon,8,0,airstrike,"3-story residential building",final,0,0,"same Tfahta massacre as 418293/418296 (batch 2) - full named victim list (8) confirms the original 8 estimate was correct and 418296's MoPH interim figure of 5 was itself preliminary/incomplete; treat this as the final count for that incident"
418372,1,,2026-03-08,,الغازية,الغازية (Ghazieh),Sidon,South Lebanon,2,0,airstrike,"building housing a displaced family",preliminary,0,0,"named: Brig. Gen. Mohammad Hammadi + nephew; update/confirmation in 418515"
418413,1,,2026-03-07,"night (reported 3/8)",الشرقية,"الشرقية (Sharqiya - village, distinct from Zawtar al-Sharqiya)",Nabatieh,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,"retrospective mention of a prior night's strike; town identity uncertain - could be a village literally named 'Sharqiya' or a truncated ref to Zawtar al-Sharqiya, verify. Article also covers same-day Bayad/Nabatieh and Arabsalim strikes w/ no deaths reported"
418442,1,,2026-03-08,,علما الشعب,علما الشعب (Alma al-Shaab),Marjayoun,Nabatieh,1,0,drone strike,"farmer (occupation stated by source)",preliminary,0,0,"named in update 418443: Sami Y. Ghafari, brother of the town's church priest"
418443,1,,2026-03-08,,علما الشعب,علما الشعب (Alma al-Shaab),Marjayoun,Nabatieh,1,0,drone strike,"named individual (occupation: farmer per 418442)",preliminary,0,0,"update/detail to 418442 - same incident"
418446,1,,2026-03-08,afternoon,"الدوير - حي السدر",الدوير (Al-Dawir),Nabatieh,Nabatieh,6,0,airstrike,"residence + car-repair hangar",preliminary,0,0,"Ayyash family (5 of 6) - SEPARATE incident from the March 6 Al-Dawir/Ramal-family massacre (417915/417945, batch 1) - different family, different date"
418472,1,,2026-03-08,,يحمر الشقيف,يحمر الشقيف (Yohmor al-Shaqif),Nabatieh,Nabatieh,,,airstrike,"chicken farm (workers, mostly Syrian nationals)",preliminary,0,1,"deaths implied ('الشهداء') but no number given yet in this article; count given in update 418513 (2)"
418485,1,,2026-03-08,,بريتال,بريتال (Britel),Baalbek,Baalbek-Hermel,1,1,airstrike,excavator/digger,preliminary,0,0,"1 dead is a Syrian national (per source)"
418500,1,,2026-03-08,,صير الغربية,صير الغربية (Sir al-Gharbiyeh),Nabatieh,Nabatieh,10,6,airstrike,"residential building",preliminary,0,0,"MoPH update to 418326 chain - large drop from initial 19 estimate, flag heavily for merge review"
418504,1,,2026-03-08,,مخيم عين الحلوة - صيدا,عين الحلوة (Ain al-Hilweh camp),Sidon,South Lebanon,1,10,airstrike,unspecified,preliminary,0,0,"1 dead is a Palestinian national (per source); injured: 3 Lebanese + 7 Palestinian"
418506,1,,2026-03-08,,صور - حي الآثار,صور (Tyre - Al-Athar neighborhood),Tyre,South Lebanon,8,0,airstrike,unspecified,preliminary,0,1,"headline says 10, body text says 8 - internal inconsistency in the source article itself, flag for merge review, using body figure (8) as more specific"
418509,1,,2026-03-08,,تبنين,تبنين (Tibnine),Bint Jbeil,Nabatieh,2,6,airstrike,unspecified,preliminary,0,0,"distinct from the March 9 Tibnine strike (418806) - different date"
418513,1,,2026-03-08,,يحمر الشقيف,يحمر الشقيف (Yohmor al-Shaqif),Nabatieh,Nabatieh,2,8,airstrike,"chicken farm (Syrian nationals, incl. 3 children rescued unharmed)",preliminary,0,0,"update to 418472 chain - gives the actual death count (2)"
418515,1,,2026-03-08,,الغازية,الغازية (Ghazieh),Sidon,South Lebanon,2,10,airstrike,"building housing a displaced family",preliminary,0,0,"MoPH update/confirmation of 418372 chain"
418518,1,,2026-03-08,,جويا,جويا (Joya),Tyre,South Lebanon,3,16,airstrike,"town market/residential area ('ring of fire' multi-strike pattern)",preliminary,0,0,"chain continues in 418583 (4) then 418675 (7, final)"
418523,1,,2026-03-09,,طير دبا,طير دبا (Tair Debba),Tyre,South Lebanon,3,15,airstrike,"main road + residential areas",preliminary,0,0,"chain continues in 418583 (7) then 418675 (9, final)"
418582,1,,2026-03-09,morning,شبعا,شبعا (Shebaa),Hasbaya,Nabatieh,1,0,drone strike,"municipal policeman (occupation stated by source)",preliminary,0,0,
418583,1,,2026-03-09,,جويا,جويا (Joya),Tyre,South Lebanon,4,20,airstrike,"town market/residential area",preliminary,0,0,"update to 418518 chain; article is a roundup, also updates Tair Debba (see next row) and mentions Deb'aal/Bint Jbeil/Al-Tiri/Qalawiyeh/Srifa/Ainata/Khirbet Selm strikes w/ no new deaths here"
418583b,1,,2026-03-09,,طير دبا,طير دبا (Tair Debba),Tyre,South Lebanon,7,18,airstrike,"main road + residential areas",preliminary,0,0,"same source article as 418583; update to 418523 chain - split into own row (different town)"
418589,0,"No new confirmed death count; follow-up body-recovery operation from a previously reported Srifa strike",,,,,,,,,,,,,,
418592,1,,2026-03-09,,كفرتبنيت,كفرتبنيت (Kfartebnit),Nabatieh,Nabatieh,3,0,airstrike,residence,preliminary,0,0,"one of two strikes in this article - see next row for the second"
418592b,1,,2026-03-09,,"طريق بنت جبيل - عيترون",Bint Jbeil-Aytaroun road,Bint Jbeil,Nabatieh,2,0,drone strike,"vehicle on road",preliminary,1,0,"same source article as 418592; separate strike/location on a road between two towns - split into own row"
418596,1,,2026-03-09,,شوكين,شوكين (Shawkin),Nabatieh,Nabatieh,1,1,airstrike,residence,preliminary,0,0,"update/confirmation in 418804 (1 dead/8 injured - higher injury count)"
418618,0,"Restates 2 medic deaths (Tair Debba, Joya) that are very likely already reflected within the town-level totals (418583/418675); does not add a new location or clearly increase either total",,,,,,,,,,,,,,"flag for merge review in case these are in fact additive, not subsets"
418669,1,,2026-03-09,daytime,الضاحية الجنوبية,الضاحية الجنوبية (Beirut southern suburb/Dahiye),Baabda,Mount Lebanon,1,12,airstrike,unspecified,preliminary,0,0,
418675,1,,2026-03-09,,طير دبا وجويا,طير دبا (Tair Debba),Tyre,South Lebanon,9,17,airstrike,"main road + residential areas",final,0,0,"FINAL MoPH toll for Tair Debba (9, one body still being searched for) - supersedes 418523/418583b"
418675b,1,,2026-03-09,,جويا,جويا (Joya),Tyre,South Lebanon,7,23,airstrike,"town market/residential area",final,0,0,"same source article as 418675; FINAL MoPH toll for Joya - supersedes 418518/418583 - split into own row (different town)"
418720,1,,2026-03-09,,"طريق بيت ياحون - تبنين",Beit Yahoun-Tibnine road,Bint Jbeil,Nabatieh,1,1,drone strike,motorcycles (two),preliminary,1,0,"1 dead is a Syrian national (per source)"
418724,0,"General cumulative toll bulletin (MoPH), Mon dawn-Mon (Mar 9) afternoon",,,,,,,,,,,,,,
418777,1,,2026-03-09,,الطيري,الطيري (Al-Tiri),Bint Jbeil,Nabatieh,,,drone strike,unspecified,preliminary,0,1,"deaths described only as plural 'citizens', no number given; article also mentions artillery shelling on Ali al-Taher forest near Nabatieh al-Fawqa w/ no deaths"
418802,1,,2026-03-09,,النميرية,النميرية (Al-Nmeiriyeh),Nabatieh,Nabatieh,7,2,airstrike,unspecified,preliminary,0,0,"SAME DATE as the Hamdan-family Nmeiriyeh massacre (418874/418963) after the retrospective-language date correction (was recorded as Mar 10, corrected to Mar 9 - see validation audit); kept as a separate incident since this is a generic unnamed-victim MoPH-style report vs. the specifically-named Hamdan family reported hours later - genuinely uncertain whether same or different strike, flagged for user review"
418804,1,,2026-03-09,,شوكين,شوكين (Shawkin),Nabatieh,Nabatieh,1,8,airstrike,residence,preliminary,0,0,"MoPH update/confirmation of 418596 - higher injury count"
418805,1,,2026-03-09,,القليعة,القليعة (Qlaya),Marjayoun,Nabatieh,1,6,artillery shelling,"parish priest (occupation stated by source)",preliminary,0,0,
