article_id,include,exclusion_reason,event_date,event_time_if_known,location_raw,town,district,governorate,deaths_reported,injuries_reported,attack_type,target_description,preliminary_or_final,location_ambiguous,casualty_count_ambiguous,notes
419088,1,,2026-03-10,evening,زوطر الشرقية,زوطر الشرقية (Zawtar al-Sharqiya),Nabatieh,Nabatieh,2,0,airstrike,unspecified,preliminary,0,0,"distinct date from the March 3 Zawtar al-Sharqiya family (417534) - separate incident"
419092,1,,2026-03-10,,الأوزاعي,الأوزاعي (Ouzai),Baabda,Mount Lebanon,1,0,airstrike,motorcycle,preliminary,0,0,
419096,0,"Municipal-union condolence/eulogy statement for the already-reported Joya mayor deaths (419068, batch 3) - commemorative, not a new incident",,,,,,,,,,,,,,
419097,1,,2026-03-10,,حناويه,حناويه (Hanawiyeh),Tyre,South Lebanon,3,2,"double-tap airstrike","2 civilians + 1 responding medic (explicitly identified)",preliminary,0,0,"second strike hit medic responding to first strike's casualties"
419102,1,,2026-03-10,,الحوش - صور,الحوش (Al-Hosh),Tyre,South Lebanon,1,8,airstrike,unspecified,preliminary,0,0,
419103,1,,2026-03-10,,قانا,قانا (Qana),Tyre,South Lebanon,5,5,airstrike,"multiple consecutive strikes",preliminary,0,0,"distinct date from the March 8 Qana strike (418290, batch 2) - separate incident"
419104,1,,2026-03-11,,زلايا - البقاع الغربي,زلايا (Zalaya),West Bekaa,Bekaa,1,2,airstrike,unspecified,preliminary,0,0,
419129,1,,2026-03-11,"after midnight",الشرقية,الشرقية (Sharqiya - village),Nabatieh,Nabatieh,3,0,airstrike,residence,preliminary,0,0,"named: Jihad Shoeib, Hussein Hassan Shoeib, Mahdi Hussein Shoeib (same family); distinct date from 418413's earlier Sharqiya mention - separate incident, though repeated pattern (3 dead, Sharqiya) worth double-checking isn't a reporting duplicate"
419129b,1,,2026-03-11,,كفرتبنيت,كفرتبنيت (Kfartebnit),Nabatieh,Nabatieh,1,0,airstrike,"medic, Islamic Health Authority (explicitly identified)",preliminary,0,0,"same source article as 419129; named: Mohammad Kajak - split into own row (different town). Article also mentions Jbeshit/Arabsalim/Zawtar al-Sharqiya strikes w/ no deaths given here"
419151,1,,2026-03-11,,"النبطية - شارع محمود فقيه",النبطية (Nabatieh city),Nabatieh,Nabatieh,1,0,drone strike,unspecified,preliminary,0,0,
419155,1,,2026-03-11,,تمنين التحتا,تمنين التحتا (Tamnin al-Tahta),Baalbek,Baalbek-Hermel,10,5,airstrike,"residence (Syrian family)",preliminary,0,0,"initial correspondent estimate; MoPH counts fluctuate in chain (419171: 7, 419415 final: 8) - flag for merge review, use 8 (final)"
419162,1,,2026-03-11,morning,"بنت جبيل - صف الهوا",بنت جبيل (Bint Jbeil - Saf al-Hawa area),Bint Jbeil,Nabatieh,3,0,drone strike,SUV,preliminary,0,0,"article also covers Bar'ashit (2 Syrians injured, no death) and Tibnine (injuries only, no death) strikes"
419171,1,,2026-03-11,morning,تمنين التحتا,تمنين التحتا (Tamnin al-Tahta),Baalbek,Baalbek-Hermel,7,18,airstrike,"residence (Syrian family)",preliminary,0,0,"MoPH update to 419155 chain (10->7, later finalized at 8 in 419415); article also gives Ali al-Nahri: 5 injured, no deaths"
419173,1,,2026-03-11,,الشهابية,الشهابية (Al-Shihabiyeh),Tyre,South Lebanon,7,11,airstrike,unspecified,preliminary,0,0,
419176,1,,2026-03-11,dawn,"بنت جبيل (مدينة)",بنت جبيل (Bint Jbeil city),Bint Jbeil,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,"distinct from the same-day Saf al-Hawa SUV strike (419162) - different target/time"
419227,1,,2026-03-11,,شقرا,شقرا (Shaqra),Nabatieh,Nabatieh,2,0,airstrike,unspecified,preliminary,0,0,"first dead-toll report for Shaqra (earlier 418038 mention had no deaths)"
419261,1,,2026-03-11,noon,"بين حبوش وعربصاليم",Habbouch-Arabsalim area,Nabatieh,Nabatieh,2,0,drone strike,unspecified,preliminary,1,0,"area between two towns, not a single town"
419344,1,,2026-03-11,,تبنين,تبنين (Tibnine),Bint Jbeil,Nabatieh,5,0,airstrike,"building sheltering displaced families",preliminary,0,1,"5 from Al-Hanini family + unspecified additional from a displaced Maroun al-Ras family - total ambiguous, see update 419346 (8); THIRD distinct Tibnine incident this study period (after 418509 Mar8, 418806 Mar9)"
419344b,1,,2026-03-11,,برعشيت,برعشيت (Bar'ashit),Bint Jbeil,Nabatieh,1,0,drone strike,unspecified,preliminary,0,0,"same source article as 419344; split into own row (different town). Article also mentions Kafra/Hariss strikes w/ no deaths"
419345,1,,2026-03-11,,"مفرق معركة - صور",معركة (Maaraka junction),Tyre,South Lebanon,1,14,airstrike,"4-story building",preliminary,0,0,"update in 419417 (2 bodies recovered)"
419346,1,,2026-03-11,,تبنين,تبنين (Tibnine),Bint Jbeil,Nabatieh,8,0,airstrike,"building sheltering displaced families",preliminary,0,0,"MoPH update to 419344 chain"
419347,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
419357,1,,2026-03-11,,شعت,شعت (Chaat),Baalbek,Baalbek-Hermel,3,0,airstrike,"residence (2 families)",preliminary,0,0,"initial estimate; jumps sharply to 8 in update 419395/419416 - flag heavily for merge review, use 8 (later, more detailed w/ named family)"
419365,1,,2026-03-11,,دير أنطار,دير أنطار (Deir Antar),Bint Jbeil,Nabatieh,2,2,airstrike,unspecified,preliminary,0,0,"chain has repeated conflicting counts across same day (419377: 3, 419425 MoPH: 2, plus 419500's separate 1-dead car strike) - flag heavily for merge review"
419371,1,,2026-03-11,,برج الشمالي,برج الشمالي (Burj al-Shamali),Tyre,South Lebanon,6,0,airstrike,unspecified,preliminary,0,1,"injury count unspecified; named family detailed in update 419419; MoPH update 419424 gives lower count (4) - flag discrepancy"
419377,1,,2026-03-11,,دير أنطار,دير أنطار (Deir Antar),Bint Jbeil,Nabatieh,3,3,airstrike,unspecified,preliminary,0,0,"update to 419365 chain"
419395,1,,2026-03-11,,شعت,شعت (Chaat),Baalbek,Baalbek-Hermel,8,3,airstrike,residence,final,0,0,"named: Tahhan family; major update to 419357 chain (3->8), described as a massacre"
419415,1,,2026-03-11,,تمنين التحتا,تمنين التحتا (Tamnin al-Tahta),Baalbek,Baalbek-Hermel,8,17,airstrike,"residence (Syrian family)",final,0,0,"FINAL MoPH toll, supersedes 419155/419171 chain"
419416,1,,2026-03-11,,شعث,شعت (Chaat),Baalbek,Baalbek-Hermel,8,3,airstrike,residence,final,0,0,"MoPH confirmation matching 419395 - do not double count"
419417,1,,2026-03-11,,"مفرق معركة - صور",معركة (Maaraka junction),Tyre,South Lebanon,2,,airstrike,"4-story building",preliminary,0,0,"update to 419345 chain (bodies recovered), search continuing"
419419,1,,2026-03-11,,برج الشمالي,برج الشمالي (Burj al-Shamali),Tyre,South Lebanon,4,0,airstrike,residence,preliminary,0,0,"named: mother Fatima Awadeh + 3 sons (Sadr, Hussein, Fadi Zalghout); detail/update to 419371 chain, not additive"
419424,1,,2026-03-11,,برج الشمالي,برج الشمالي (Burj al-Shamali),Tyre,South Lebanon,4,9,airstrike,residence,preliminary,0,0,"MoPH update to 419371 chain - lower than initial 6 estimate, flag discrepancy"
419425,1,,2026-03-11,,دير أنطار,دير أنطار (Deir Antar),Bint Jbeil,Nabatieh,2,6,airstrike,unspecified,preliminary,0,0,"MoPH update to Deir Antar chain - district confirmed as Bint Jbeil here"
419427,1,,2026-03-11,night,الرملة البيضاء,الرملة البيضاء (Ramlet al-Baida),Beirut,Beirut,,,strike on vehicle,car,preliminary,0,1,"death count vague ('martyrs and wounded'), no figure given; chain continues in 419429 (7), 419457 (8), 419588 final (12)"
419429,1,,2026-03-12,,الرملة البيضاء,الرملة البيضاء (Ramlet al-Baida),Beirut,Beirut,7,21,strike on vehicle,car,preliminary,0,0,"MoPH update to 419427 chain"
419457,1,,2026-03-12,,الرملة البيضاء,الرملة البيضاء (Ramlet al-Baida),Beirut,Beirut,8,31,strike on vehicle,car,preliminary,0,0,"update to 419427/419429 chain"
419458,1,,2026-03-12,,عرمون,عرمون (Aramoun),Aley,Mount Lebanon,3,1,airstrike,unspecified,preliminary,0,0,"distinct date from the March 2 Aramoun/Saadiyat incident (417154/417202, batch 1); chain continues in 419535 (names photographer) and 419588 final (5)"
419499,1,,2026-03-12,,باريش,باريش (Barish),Tyre,South Lebanon,3,0,airstrike,unspecified,preliminary,0,0,"named: Khodr Abbas, Ahmad Abbas, Shafiq Rmeiti"
419500,1,,2026-03-12,,دير أنطار,دير أنطار (Deir Antar),Bint Jbeil,Nabatieh,1,0,drone strike,vehicle,preliminary,0,0,"possibly additional to, or already reflected within, the same-town multi-report chain from the prior day - flag for merge review"
419535,1,,2026-03-12,,عرمون,عرمون (Aramoun),Aley,Mount Lebanon,2,0,airstrike,unspecified,preliminary,0,0,"named: photographer/director Mohammad Shehab + young daughter; update/detail to 419458 chain, not additive"
419588,1,,2026-03-12,,عرمون,عرمون (Aramoun),Aley,Mount Lebanon,5,7,airstrike,unspecified,final,0,0,"FINAL MoPH toll for Aramoun, supersedes 419458/419535 chain"
419588b,1,,2026-03-12,,الرملة البيضاء,الرملة البيضاء (Ramlet al-Baida),Beirut,Beirut,12,28,strike on vehicle,car,final,0,0,"same source article as 419588; FINAL MoPH toll for Ramlet al-Baida - split into own row (different town), supersedes 419427/419429/419457"
419598,1,,2026-03-12,,أركي,أركي (Arki),Sidon,South Lebanon,9,7,airstrike,unspecified,preliminary,0,0,
