article_id,include,exclusion_reason,event_date,event_time_if_known,location_raw,town,district,governorate,deaths_reported,injuries_reported,attack_type,target_description,preliminary_or_final,location_ambiguous,casualty_count_ambiguous,notes
420377,1,,2026-03-16,,كفرصير,كفرصير (Kfarsir),Nabatieh,Nabatieh,3,1,"double-tap airstrike","1 civilian (home) + 2 medics (Islamic Health Authority, explicit)",preliminary,0,0,"second strike hit the responding ambulance"
420429,1,,2026-03-16,,القنطرة,القنطرة (Qantara),Marjayoun,Nabatieh,4,0,airstrike,unspecified,preliminary,0,0,"2 children; distinct date from the March 14 Qantara/Al-Sagheer-family strike (420167, batch 5)"
420508,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
420532,1,,2026-03-16,,ياطر,ياطر (Yatar),Bint Jbeil,Nabatieh,1,1,drone strike,"medic (Islamic Health Authority, explicit)",preliminary,0,0,"likely same incident as 420556 (named medic, ambulance struck) - do not double count"
420556,1,,2026-03-16,,ياطر,ياطر (Yatar),Bint Jbeil,Nabatieh,1,0,drone strike,"ambulance (named medic Mohammad Jaafar)",preliminary,0,0,"likely same incident as 420532 - do not double count"
420564,1,,2026-03-16,,"مفرق معركة - قرب مستشفى جبل عامل",معركة (Maaraka junction),Tyre,South Lebanon,1,5,airstrike,apartment,preliminary,0,0,"chain continues in 420574 (final, 6 inj.) and 420575 (MoPH, 16 inj.) - injury counts vary, deaths consistent at 1"
420574,1,,2026-03-16,,"مفرق معركة",معركة (Maaraka junction),Tyre,South Lebanon,1,6,airstrike,apartment,final,0,0,"final toll per Tyre district health chief, update to 420564; article also mentions a same-night Srifa strike w/ injuries but no confirmed death"
420575,1,,2026-03-16,,"مفرق معركة",معركة (Maaraka junction),Tyre,South Lebanon,1,16,airstrike,apartment,preliminary,0,0,"MoPH figure, higher injury count than 420564/420574 - flag for merge review, death count consistent"
420648,1,,2026-03-17,morning,بنت جبيل (مدينة),بنت جبيل (Bint Jbeil city),Bint Jbeil,Nabatieh,3,0,airstrike,unspecified,preliminary,0,0,"fourth distinct Bint Jbeil city strike this study period - different date"
420682,1,,2026-03-17,,الجميجمة,الجميجمة (Al-Jmeijmeh),Tyre,South Lebanon,2,0,airstrike,unspecified,preliminary,0,0,"article also covers ongoing artillery shelling of Zebqin/Jabal al-Botm w/ no deaths"
420708,1,,2026-03-17,,قعقعية الجسر,قعقعية الجسر (Qaaqaait al-Jisr),Nabatieh,Nabatieh,1,,airstrike,"soldier (Lebanese Army, explicit)",preliminary,0,0,"Army statement; follow-up to an earlier (not itself keyword-matched) report of 5 soldiers injured there; chain continues in 420801/420826"
420763,1,,2026-03-17,,طريق المطار,طريق المطار (Airport Road),Baabda,Mount Lebanon,1,9,airstrike,unspecified,preliminary,0,0,"distinct date from the March 3 Airport Road strike (417491, batch 1)"
420770,1,,2026-03-17,,"طريق زبدين - النبطية",Zebdine-Nabatieh road,Nabatieh,Nabatieh,2,,drone strike,"2 soldiers on a motorcycle (Lebanese Army, explicit)",preliminary,1,0,"Army statement (via X/Twitter); chain continues in 420801/420826"
420778,1,,2026-03-17,,"بين عبا وجبشيت - قرب مدرسة التنشئة",Aaba-Jbeshit area,Nabatieh,Nabatieh,1,1,drone strike,vehicle,preliminary,1,0,"article also mentions a Tool building destroyed by a separate strike w/ no deaths given"
420783,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
420788,1,,2026-03-17,,السلطانية,السلطانية (Al-Sultaniyeh),Bint Jbeil,Nabatieh,1,0,strike on vehicle,car,preliminary,0,0,
420801,0,"Army eulogy identifying the 3 soldiers already reported killed in 420708 (Qaaqaait al-Jisr) and 420770 (Zebdine road) - biographical/commemorative, no new incident data",,,,,,,,,,,,,,
420805,1,,2026-03-17,,"مجمع دغمان السكني - حاروف",حاروف (Haroof),Nabatieh,Nabatieh,3,,airstrike,"residential complex",preliminary,0,1,"'3 so far' - recovery ongoing, count may be incomplete; referenced again (not updated) in 420918"
420810,1,,2026-03-17,,الغازية,الغازية (Ghazieh),Sidon,South Lebanon,3,5,airstrike,unspecified,preliminary,0,0,"third distinct Ghazieh incident this study period - different date from March 8 and March 13 strikes"
420826,0,"Army condemnation statement restating the already-known 3 KIA total (matches 420708+420770 combined) across Zebdine/Qaaqaait al-Jisr/Al-Dawir - no new deaths, policy statement not an incident report",,,,,,,,,,,,,,
420855,1,,2026-03-17,,"بعلبك - رأس العين",بعلبك (Baalbek city - Ras al-Ain),Baalbek,Baalbek-Hermel,2,6,airstrike,"residential building",preliminary,0,0,"2 children; 3 missing; chain continues in 420869/420947 (final: 4 dead/7 injured)"
420868,1,,2026-03-18,,حبوش,حبوش (Habbouch),Nabatieh,Nabatieh,3,1,airstrike,building,preliminary,0,1,"headline says '8 dead' but body says 3 dead confirmed + 8 missing (search ongoing) - internal inconsistency, use body figure"
420869,1,,2026-03-18,,بعلبك,بعلبك (Baalbek city - Ras al-Ain),Baalbek,Baalbek-Hermel,4,7,airstrike,"residential building",preliminary,0,0,"MoPH update to 420855 chain, matches final in 420947"
420870,1,,2026-03-18,,جبشيت,جبشيت (Jbeshit),Nabatieh,Nabatieh,4,0,airstrike,unspecified,preliminary,0,0,"4 Syrian nationals; distinct date from earlier Jbeshit incidents"
