article_id,include,exclusion_reason,event_date,event_time_if_known,location_raw,town,district,governorate,deaths_reported,injuries_reported,attack_type,target_description,preliminary_or_final,location_ambiguous,casualty_count_ambiguous,notes
423304,1,,2026-03-28,,دير الزهراني,دير الزهراني (Deir al-Zahrani),Zahrani,South Lebanon,7,8,airstrike,unspecified,final,0,0,"MoPH final toll, quantifies the vague 423099 report; matches the soldier named in 423199"
423318,1,,2026-03-29,,جويا,جويا (Joya),Tyre,South Lebanon,2,3,airstrike,unspecified,preliminary,0,0,"article also restates a 7-dead Al-Haniyeh toll that likely duplicates the March 28 final toll (423276) rather than being a new incident - not counted separately; also mentions Deb'aal/Batouliyeh/Deir Qanoun Ras al-Ain/Bayyada/Bint Jbeil activity w/ no new deaths given here"
423331,1,,2026-03-29,,"مستشفى بنت جبيل - محيط",بنت جبيل (Bint Jbeil - hospital area),Bint Jbeil,Nabatieh,,,"strike on responder post","Islamic Health Authority center",preliminary,0,1,"vague count ('info about deaths and injuries'); quantified in 423333 (2 medics); article also mentions a Deir Kifa health-center strike w/ no injuries"
423333,1,,2026-03-29,,"مستشفى بنت جبيل - محيط",بنت جبيل (Bint Jbeil - hospital area),Bint Jbeil,Nabatieh,2,0,"strike on responder post","2 medics, Islamic Health Authority (explicit)",preliminary,0,0,"update/quantification of 423331"
423335,1,,2026-03-29,,عبا,عبا (Aaba),Nabatieh,Nabatieh,2,0,airstrike,residence,preliminary,0,0,"distinct date from other Aaba incidents this study period; article also references damage to a Nabatieh city commercial center from a prior night's strike, no deaths given"
423421,1,,2026-03-29,,شقرا,شقرا (Shaqra),Bint Jbeil,Nabatieh,4,0,airstrike,unspecified,preliminary,0,0,"during ongoing artillery shelling of the area; update in 423494 (5); article also mentions Tair Harfa shelling w/ no deaths"
423422,1,,2026-03-29,,"بنت جبيل (مدينة)",بنت جبيل (Bint Jbeil city),Bint Jbeil,Nabatieh,1,0,"strike on ambulance","medic (explicit)",preliminary,0,0,"MoPH statement, possibly overlapping with the 423331/423333 Bint Jbeil hospital-area health-center strike (same day) - flag heavily for merge review re: whether additive to that 2-medic total or a distinct third"
423469,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
423494,1,,2026-03-29,,شقرا,شقرا (Shaqra),Bint Jbeil,Nabatieh,5,2,airstrike,unspecified,preliminary,0,0,"MoPH update to 423421 (4->5)"
423495,0,"Hezbollah statement describing its own attacks on Israeli forces at Maroun al-Ras/Qantara/Houla border areas - not an Israeli attack on Lebanon",,,,,,,,,,,,,,
