article_id,include,exclusion_reason,event_date,event_time_if_known,location_raw,town,district,governorate,deaths_reported,injuries_reported,attack_type,target_description,preliminary_or_final,location_ambiguous,casualty_count_ambiguous,notes
421111,1,,2026-03-18,,شعت,شعت (Chaat),Baalbek,Baalbek-Hermel,4,,airstrike,residence,preliminary,0,0,"distinct date from the March 11 Chaat massacre (419357/419395, batch 4); update in 421113 (6, named family)"
421113,1,,2026-03-18,,"أطراف شعت لجهة يونين",شعت (Chaat - toward Younine),Baalbek,Baalbek-Hermel,6,,airstrike,residence,preliminary,0,0,"named: Namr family (Hussein, wife Asmaa al-Kaheel, and 4 children); update to 421111"
421215,1,,2026-03-19,,البازورية,البازورية (Bazouriyeh),Tyre,South Lebanon,1,2,airstrike,unspecified,preliminary,0,0,
421236,1,,2026-03-19,,"أطراف عدلون",عدلون (Adloun - outskirts),Sidon,South Lebanon,2,0,airstrike,residence,preliminary,0,0,"distinct from the later March 24 Adloun-area incidents (422220/422407) - different date"
421438,1,,2026-03-20,dawn,بافيله,بافيله (Bafiliyeh),Tyre,South Lebanon,2,1,airstrike,residence,preliminary,0,0,"article also mentions strikes on Bint Jbeil city, Al-Tiri, and a repeated Kfartebnit strike w/ no deaths given"
421542,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
421608,1,,2026-03-20,dawn,الغندورية,الغندورية (Al-Ghandouriyeh),Bint Jbeil,Nabatieh,1,2,airstrike,residence,preliminary,0,0,"article also mentions renewed artillery shelling of Naqoura w/ no deaths"
421690,1,,2026-03-21,dawn,زوطر الشرقية,زوطر الشرقية (Zawtar al-Sharqiya),Nabatieh,Nabatieh,1,0,airstrike,residence,preliminary,0,0,"fourth distinct Zawtar al-Sharqiya incident this study period - different date; article also mentions a Jabal al-Rihan heights strike w/ no deaths"
421727,0,"General daily+cumulative toll bulletin (MoPH), not a single-incident report",,,,,,,,,,,,,,
421816,1,,2026-03-22,dawn,السلطانية,السلطانية (Al-Sultaniyeh),Bint Jbeil,Nabatieh,2,0,airstrike,unspecified,preliminary,0,1,"count hedged ('وافيد'); update in 421849 (3)"
421816b,1,,2026-03-22,,الصوانة,الصوانة (Al-Sawwaneh),Tyre,South Lebanon,1,0,airstrike,unspecified,preliminary,0,1,"same source article as 421816; count hedged; split into own row (different town); confirmed in 421849 (1); article also covers intermittent artillery/machine-gun activity on Qantara/Beit Lif/Qawzah/Aita al-Shaab w/ no deaths"
